role,name,location,post_time,description,level,job_type,job_func,industry,url
Project / Product Management Intern,NDAX,"Calgary, Alberta, Canada",2023-05-03,"As one of Canada’s largest and fastest growing cryptocurrency trading platforms, NDAX has set the bar high for the country’s fintech industry and is constantly leading the way in terms of security and innovation. We’re on a mission to empower more Canadians to unlock the full potential of digital finance. To address the various needs in the Canadian cryptocurrency space, NDAX has assembled a multidisciplinary team with diverse backgrounds, including finance, technology, engineering, compliance, marketing, and more.


NDAX has an exciting opportunity for a highly motivated student to join us as an Project/Product Management Intern.

This is an on-site role and we are looking for someone based in Calgary.

This paid position is from May to mid-September 2023 (4 months), with 8-hour workdays.",Internship,Internship,Product Management,"Technology, Information and Internet",https://ca.linkedin.com/jobs/view/project-product-management-intern-at-ndax-3596568879?refId=%2BrwWY8pFpyO7IhPwRmavUg%3D%3D&trackingId=m6dw207%2BWyX11n3373f%2FaA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Flight Operations Intern,Lynx Air,"Calgary, Alberta, Canada",2023-08-18,"Are you excited about the prospect of joining a startup organization?
Interested in being a part of the changing skies in Canada and beyond?
Want to work with world-class leaders who have extensive industry know-how?
Curious about how it feels to contribute and join Canada’s newest airline while redefining affordable air travel?",Internship,Full-time,Management and Manufacturing,Airlines and Aviation,https://ca.linkedin.com/jobs/view/flight-operations-intern-at-lynx-air-3690764875?refId=%2BrwWY8pFpyO7IhPwRmavUg%3D%3D&trackingId=s01u4MQza79VvpdQPDc0Sw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Aviation Intern,Lynx Air,"Calgary, Alberta, Canada",2023-04-18,"Are you excited about the prospect of joining a start-up organization on the ground floor? Interested in being a part of the changing skies in Canada and beyond? Want to work with world-class leaders who have extensive industry know-how? If so, we have an exciting opportunity for you!",Internship,Full-time,Management and Manufacturing,Airlines and Aviation,https://ca.linkedin.com/jobs/view/aviation-intern-at-lynx-air-3567916765?refId=%2BrwWY8pFpyO7IhPwRmavUg%3D%3D&trackingId=1dXPF7WVLJHBvV6LaOSXww%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Marketing Intern,NDAX,"Calgary, Alberta, Canada",2023-04-25,"As one of Canada’s largest and fastest growing cryptocurrency trading platforms, NDAX has set the bar high for the country’s fintech industry and is constantly leading the way in terms of security and innovation. We’re on a mission to empower more Canadians to unlock the full potential of digital finance. To address the various needs in the Canadian cryptocurrency space, NDAX has assembled a multidisciplinary team with diverse backgrounds, including finance, technology, engineering, compliance, marketing, and more.


NDAX has an exciting opportunity for a highly motivated student to join us as a Data Scientist /ML Intern.

This is an on-site role and we are looking for someone based in Calgary.

This paid position is from May to mid-September 2023 (with potential extension to December), with 8-hour workdays.",Internship,Internship,Marketing,"Technology, Information and Internet",https://ca.linkedin.com/jobs/view/marketing-intern-at-ndax-3584809644?refId=%2BrwWY8pFpyO7IhPwRmavUg%3D%3D&trackingId=PmYFjgYgoUX%2Fy5QCDauUAA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Accounting & Auditing Summer Internship,NDAX,"Calgary, Alberta, Canada",2023-04-25,"As one of Canada’s largest and fastest growing cryptocurrency trading platforms, NDAX has set the bar high for the country’s fintech industry and is constantly leading the way in terms of security and innovation. We’re on a mission to empower more Canadians to unlock the full potential of digital finance. To address the various needs in the Canadian cryptocurrency space, NDAX has assembled a multidisciplinary team with diverse backgrounds, including finance, technology, engineering, compliance, marketing, and more.


NDAX has an exciting opportunity for a highly motivated student to join us as an Accounting and Auditing Summer Intern. This paid position is from May to mid-Sept 2023 (with potential extension to December), with 8-hour workdays.

This position has the option to be extended past the summer (based on performance). This role is an onsite job and we are looking for someone based in Calgary.",Internship,Internship,Accounting/Auditing,"Technology, Information and Internet",https://ca.linkedin.com/jobs/view/accounting-auditing-summer-internship-at-ndax-3584812299?refId=%2BrwWY8pFpyO7IhPwRmavUg%3D%3D&trackingId=8wqaVMPf38wMHr%2By7rgUEQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Technical Support Analyst Co-Op/Intern,Kinaxis,"Calgary, Alberta, Canada",2023-09-01,"At Kinaxis, who we are is grounded in our common belief that people matter. Each one of us plays an important part in accomplishing our work, building our culture and making a global impact.

Every day, we’re empowered to work together to help our customers make fast, confident planning decisions. This is how we create a better planet – for each other, for our customers and for generations to come. Our cloud-based platform RapidResponse ensures that the products we need – everything from medicine and cars, to day-to-day items like toothpaste – make it to market and into our hands when we need them with minimal ecological footprint.

We make the world better, and you can too.


our office in Ottawa, Canada or Remote, Canada


12 months starting January 2024


The Customer Support team is comprised of more than 50 experienced support professionals with an array of technical experience from various backgrounds. We have regional offices in NA, EMEA, and APAC to provide our customers global coverage as we handle more than 12,000 support cases annually.









For more information, visit the Kinaxis web site at www.kinaxis.com or the company’s blog at http://blog.kinaxis.com/ .

Kinaxis strongly encourages diverse candidates to apply to our welcoming community. We strive to make our website and application process accessible to any and all users. If you would like to contact us regarding the accessibility of our website or need assistance completing the application process, please contact us at recruitmentprograms@kinaxis.com . This contact information is for accessibility requests only and cannot be used to inquire about the status of applications.",Internship,Full-time,Information Technology,Software Development,https://ca.linkedin.com/jobs/view/technical-support-analyst-co-op-intern-at-kinaxis-3710308008?refId=%2BrwWY8pFpyO7IhPwRmavUg%3D%3D&trackingId=Nxifi01x7q9PFnSX8NuD3w%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Engineering Intern,Energy Jobline,"Calgary, Alberta, Canada",2023-08-23,"Would you be interested in gaining design experience?

Do you want to work with meaningful products?

Join our Process & Pipeline Services Team!

As a Digital Solutions business, we provide intelligent, connected hardware technologies to sense, control and inspect assets across many industries. Customers are provided with peace of mind needed to reliably and efficiently improve operations. Our team has a collaborative sales mind-set, a technical understanding of our products, providing highly customizable solutions.

Partner with the best

Our internship will provide you with a technical focused training, where you will work on projects and present your results. You will become familiar with Health, Safety and Environment (HS&E).You will be supported by a buddy and your manager who will ensure that you have a valuable learning experience.



Fuel your passion



Work in a way that works for you


In this role, we can offer the following flexible working patterns

We recognize that everyone is different and that the way in which people want to work and deliver at their best is different for everyone too.


Working with us

Our people are at the heart of what we do at Baker Hughes. We know we are better when all of our people are developed, engaged and able to bring their whole authentic selves to work. We invest in the health and well-being of our workforce, train and reward talent and develop leaders at all levels to bring out the best in each other.

Working for you


Our inventions have revolutionized energy for over a century. But to keep going forward tomorrow, we know we have to push the boundaries today. We prioritize rewarding those who embrace change with a package that reflects how much we value their input.



With operations in over 120 countries, we provide better solutions for our customers and richer opportunities for our people. As a leading partner to the energy industry, we’re committed to achieving net-zero carbon emissions by 2050 and we’re always looking for the right people to help us get there. People who are as passionate as we are about making energy safer, cleaner and more efficient.

Join Us

Are you seeking an opportunity to make a real difference in a company with a global reach and exciting services and clients? Come join us and grow with a team of people who will energize and inspire you!

As part of our commitment to the health and safety of our employees, customers and the communities in which we operate, this role requires full vaccination for COVID-19 prior to beginning work. Requests for reasonable accommodations due to valid medical reasons, a sincerely held religious belief, or other personal conscience objection will be considered on a case-by-case basis, including but not limited to essential job duties, in accordance with applicable law. We are an energy technology company that provides solutions to energy and industrial customers worldwide. Built on a century of experience and conducting business in over 120 countries, our innovative technologies and services are taking energy forward – making it safer, cleaner and more efficient for people and the planet.

Are you seeking an opportunity to make a real difference in a company that values innovation and progress? Join us and become part of a team of people who will challenge and inspire you! Let’s come together and take energy forward.

Baker Hughes Company is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.",Internship,Full-time,Engineering and Information Technology,Staffing and Recruiting,https://ca.linkedin.com/jobs/view/engineering-intern-at-energy-jobline-3705963276?refId=%2BrwWY8pFpyO7IhPwRmavUg%3D%3D&trackingId=nZy8pdsIP9D1dLaWQ2nWew%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
"Project Coordinator, Intern",Rogers Communications,"Calgary, Alberta, Canada",2023-08-23,"Our Rogers Finance team is at the core of our organization, supporting all of our projects across every line of business. By providing financial support and guidance, our teams rely on our Finance partners to help make strategic, data-driven decisions that will have an impact on our growth and profitability for years to come.

Our Finance team is growing and is looking for like-minded thinkers who are passionate about telling stories through numbers to help take our investments in innovation to the next step. In turn, our Finance team is also committed to the growth and development of their team members. We offer advanced learning through Rogers Finance Transformation, support our colleagues in maintaining their professional designations, and offer a challenging work environment with fulfilling results to help balance both financial and business acumen.

Your journey is filled with limitless possibilities, Let’s make your possible.

The Capital & Inventory Accounting Team at Rogers West has an immediate opening for an intern position as a Project Coordinator. Reporting to the Manager, Capital and Inventory Accounting, the successful candidate will be accountable for performing a variety of duties in project costing. The work location will be in Calgary, Alberta.






Schedule Full time

Shift Day

Length of Contract 4 Months

Work Location 600 500 4th Ave SW (208), Calgary, AB

Travel Requirements None

Posting Category/Function Finance & Accounting & Accounting

Requisition ID 293728

What makes us different makes us stronger. Rogers has a strong commitment to diversity and inclusion. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential. At Rogers, we value the insights and innovation that diverse teams bring to work. We work with our candidates with disabilities throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Rogers FAQ.

Posting Notes Corporate",Not Applicable,Full-time,Other,"Book and Periodical Publishing, Broadcast Media Production and Distribution, and Telecommunications",https://ca.linkedin.com/jobs/view/project-coordinator-intern-at-rogers-communications-3679215332?refId=%2BrwWY8pFpyO7IhPwRmavUg%3D%3D&trackingId=KRc8%2FNepF1gjLCt9wGvO1A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Engineering Intern,Baker Hughes,"Calgary, Alberta, Canada",2023-03-31,,,,,,https://ca.linkedin.com/jobs/view/engineering-intern-at-baker-hughes-3585750774?refId=%2BrwWY8pFpyO7IhPwRmavUg%3D%3D&trackingId=m6BvVQUIL%2BlYEN6BFjLU9Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Operations Management Intern,Cargill,"High River, Alberta, Canada",2023-08-17,,,,,,https://ca.linkedin.com/jobs/view/operations-management-intern-at-cargill-3697275438?refId=%2BrwWY8pFpyO7IhPwRmavUg%3D%3D&trackingId=ihtiq6mrh72e9f5iEjhK9w%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
