role,name,location,post_time,description,level,job_type,job_func,industry,url
Investment Banking Internship - Vancouver,Into City Prep,"Vancouver, British Columbia, Canada",2023-09-01,"Investment Banking Intern

Seeking a hardworking undergraduate or recent graduate passionate about investment banking. You may get involved with analysing markets, creating complex financial models, producing prospectuses and performing valuations.

This is a good opportunity for undergraduates, graduates as well as working professionals who want to change industries. A desire to want to work in finance is essential.







Powered by JazzHR

bugSAcSm2w",Internship,Internship,Finance and Sales,Internet Publishing,https://ca.linkedin.com/jobs/view/investment-banking-internship-vancouver-at-into-city-prep-3710145331?refId=pxRwNuCs6iA1C%2Bi89HQDTw%3D%3D&trackingId=R51nXmDv5et3cAJ%2FgJL37Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
GVA - Internship opportunity in Management Consulting (May 2024),KPMG Canada,"Vancouver, British Columbia, Canada",2023-08-16,"Overview

Please note that you are limited to one application during the recruitment period as we ask you to think ahead of what office and service line you are most interested in. This position is for a 4-month internship/co-op term.

At KPMG, you’ll join a team of diverse and dedicated problem solvers, connected by a common cause turning insight into opportunity for clients and communities around the world.

The opportunity

We are seeking talented and energetic candidates to join our Advisory, team as an working in our Vancouver practice starting in. Positions are available in the following service lines





The Operations team at KPMG supports clients in the Financial Services sector (Banking, Wealth & Asset Management, Insurance, Private Equity, Pensions), the Public Sector and the Technology, Media and Telecommunication sectors with a range of services strategic planning, growth & omni-channel strategy, Target Operating Model (TOM) design, process improvement/redesign, cost optimization/value realization and accounting/regulatory change programs. As part of the Operations team, you will help clients perform current situation assessments/diagnostics, visioning/target state design as well as develop roadmaps and support implementation.



An effective finance function needs to be aligned to the business strategy and should provide agile financial analysis and insight to support corporate decision making, while also meeting legal and regulatory requirements as a given. With a global network of professionals working in KPMG member firms around the world, Finance Transformation collaborates closely with CFOs and other finance leaders to help maximize the finance function's performance and empower them to become insightful business partners.  We focus on a variety of areas surrounding our “Finance of the Future” vision to drive strategy and implementation across finance operations optimization, target operating model redesign, financial technology transformation, and regulatory compliance transformation.



The Technology Strategy and Digital Transformation team advises clients on how technology will impact their business and delivers innovative end-to-end digital transformation. We work with digital and functional leaders across industries and sectors to define their vision for digital transformation, develop tailored technology and data strategies, align with IT assets to be more customer-centric, and create and execute implementation plans that drive business value. Please note that for Technology Strategy and Transformation, applicants should demonstrate a clear interest in technology or data and/or possess Computer Science, System/Product Design, Information Technology, Management Information Systems, Data and Analytics, Engineering background or equivalent experience.



We advance our client’s business performance by helping to shape and navigate the important people dynamics related to the transformation of work, capabilities, and behaviours. We assist our clients with strategic alignment, workforce shaping, embedding inclusion and diversity, capability building & learning, digital HR transformation and culture shifting. With experience in all industries, as well as both the private and public sectors, our People and Change practice helps organizations drive value and enhance success by optimizing their talent agenda and activating their most valuable resource, their people.



Amidst ever-changing technological, economic and regulatory challenges, varying industries need one thing effective supply chain management to accelerate their corporate growth strategies, increase operational efficiency, and offer new and differentiated value to their customers. KPMG understands the complexities of designing and managing supply chains, and our strategic business approach helps create and sustain bottom-line value across the extended supply chain -- from suppliers to customers. A career in KPMG’s Supply Chain services can be extremely rewarding.



The KPMG Customer network has developed some of the best CX and Digital tools, methods and frameworks anywhere. Our expertise consists of designing the most relevant client experiences and omnichannel strategy that are aligned with the business context. Our projects are about understanding strategy, technology, design and process through the lens of a digital experience. We would love to hear from individuals who are passionate about helping clients reshape their business around the customer to create a truly connected and profitable enterprise.







usually join Management Consulting with significant work experience, . Senior Consultant are expected to be able to come into the Management Consulting team and immediately make a significant impact. Those coming from should for the .

All applications must be received no later than . Our online application system will allow you to include up to five documents without losing your formatting. Applications can be addressed to Hiring Manager and should include

KPMG individuals and understand that a diverse workforce enables us to deepen relationships and strengthen our business.



For more information about KPMG in Canada’s Benefits and well-being, click here.



KPMG individuals and understand that a diverse workforce enables us to deepen relationships and strengthen our business.





, we do what is right | , we never stop learning and improving | , we think and act boldly | , we respect each other and draw strength from our differences | , we do what matters

KPMG in Canada is a proud equal opportunities employer and we are committed to creating a respectful, inclusive and barrier-free workplace that allows all of our people to reach their full potential. A diverse workforce is key to our success and we believe in bringing your whole self to work. We welcome all qualified candidates to apply and hope you will choose KPMG in Canada as your employer of choice. For more information about Inclusion, Diversity & Equity in Recruitment, please click here.

If you have a question about accessible employment at KPMG, or to begin a confidential conversation about your individual accessibility or accommodation needs through the recruitment process, we encourage you to visit our accessibility page.",Not Applicable,Internship,Education and Training,Financial Services,https://ca.linkedin.com/jobs/view/gva-internship-opportunity-in-management-consulting-may-2024-at-kpmg-canada-3692558632?refId=pxRwNuCs6iA1C%2Bi89HQDTw%3D%3D&trackingId=CMJMGHxLyH0i1LXPhIlN1Q%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Finance Analyst Intern - Western Canada District Fall 2023,Kiewit,"Burnaby, British Columbia, Canada",2023-08-15,"Requisition ID: 169146

Job Level: Internship

Home District/Group: Western Canada District

Operational Finance

Transportation

Full Time Temporary


The Finance Analyst Internship is focused on supporting a project in accounting and finance related functions. Each project at Kiewit is run like a small business, with the Business Manager concentrated on critical tasks such as cost control, payroll, accounts payable/receivable, human capital management, and compliance. This position will become skilled executing processes and utilizing tools related to different types of cost and revenue components such as labor, construction equipment, materials, and subcontracts. The Finance intern will be an integral part of the month end close out process, and assist with preparing a financial reporting package for project management.

At Kiewit, the scale of our operations is huge. Our construction and engineering projects span across the United States, Canada and Mexico, improving and connecting communities with every initiative. We depend on our high-performing operations support professionals — they’re the glue that holds multiple areas of the business together and the catalysts that make things happen. We hire only the most driven people and we offer them diverse career opportunities, strong leadership and mentorship, rewarding, collaborative work, and responsibility they won’t find just anywhere. We’re always pushing new limits. You can too.


One of the many things that makes Kiewit’s culture unique is that we go where the work is, which exposes your career to abundant opportunities. We relocate our teams based on the work that is available, combined with the development plans, skill sets and career goals of each team member. This means your Kiewit adventure is custom-designed to meet our shared needs.",Internship,Internship,Finance and Sales,Construction and Civil Engineering,https://ca.linkedin.com/jobs/view/finance-analyst-intern-western-canada-district-fall-2023-at-kiewit-3674207298?refId=pxRwNuCs6iA1C%2Bi89HQDTw%3D%3D&trackingId=aOaBMm6b4MR5cUteWm34Qg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Victoria - Internship opportunity in Management Consulting (January 2024),KPMG Canada,"Victoria, British Columbia, Canada",2023-08-16,"Overview

Please note that you are limited to one application during the recruitment period as we ask you to think ahead of what office and service line you are most interested in. This position is for a 4-month internship/co-op term.

At KPMG, you’ll join a team of diverse and dedicated problem solvers, connected by a common cause turning insight into opportunity for clients and communities around the world.

The opportunity

We are seeking talented and energetic candidates to join our Advisory, team as an working in our Victoria practice starting in. Positions are available in the following service lines





The Technology Strategy and Digital Transformation team advises clients on how technology will impact their business and delivers innovative end-to-end digital transformation. We work with digital and functional leaders across industries and sectors to define their vision for digital transformation, develop tailored technology and data strategies, align with IT assets to be more customer-centric, and create and execute implementation plans that drive business value. Please note that for Technology Strategy and Transformation, applicants should demonstrate a clear interest in technology or data and/or possess Computer Science, System/Product Design, Information Technology, Management Information Systems, Data and Analytics, Engineering background or equivalent experience.







usually join Management Consulting with significant work experience, . Senior Consultant are expected to be able to come into the Management Consulting team and immediately make a significant impact. Those coming from should for the .

All applications must be received no later than . Our online application system will allow you to include up to five documents without losing your formatting. Applications can be addressed to Hiring Manager and should include

KPMG individuals and understand that a diverse workforce enables us to deepen relationships and strengthen our business.



For more information about KPMG in Canada’s Benefits and well-being, click here.



KPMG individuals and understand that a diverse workforce enables us to deepen relationships and strengthen our business.





, we do what is right | , we never stop learning and improving | , we think and act boldly | , we respect each other and draw strength from our differences | , we do what matters

KPMG in Canada is a proud equal opportunities employer and we are committed to creating a respectful, inclusive and barrier-free workplace that allows all of our people to reach their full potential. A diverse workforce is key to our success and we believe in bringing your whole self to work. We welcome all qualified candidates to apply and hope you will choose KPMG in Canada as your employer of choice. For more information about Inclusion, Diversity & Equity in Recruitment, please click here.

If you have a question about accessible employment at KPMG, or to begin a confidential conversation about your individual accessibility or accommodation needs through the recruitment process, we encourage you to visit our accessibility page.",Not Applicable,Internship,Education and Training,Financial Services,https://ca.linkedin.com/jobs/view/victoria-internship-opportunity-in-management-consulting-january-2024-at-kpmg-canada-3692564138?refId=pxRwNuCs6iA1C%2Bi89HQDTw%3D%3D&trackingId=Moje8iqvxEWujIE1YV%2FWZQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Intern,Hexagon Agility,"Kelowna, British Columbia, Canada",2023-08-10,"Hexagon Agility designs and manufactures the only alternative transportation solution with net-negative carbon emissions. Using cutting-edge technology to design high-pressure carbon fiber cylinders and fuel systems, Hexagon Agility is able to provide safe and cost-effective solutions to customers across the globe. Saving over 1 million metric tons of greenhouse gases (GHG) per year, our products enable the worldwide transition to sustainable green transportation.

We are currently seeking an Engineering Co-Op who will participate as a valuable member of the engineering team by working directly with the engineering staff to design, develop, and implement renewable natural gas (RNG). The co-op will work directly with the engineering staff doing a variety of tasks related to developing the RNG fuel systems and will have the opportunity to learn the real- world application of design theory, product testing, process/project management. This position will be based out of our Kelowna, Canada office.








The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee is regularly required to walk and talk or hear. The employee frequently is required to stand. The employee is also required to sit; use hands to reach, handle, or feel objects, tools, or controls; reach with hands and arms; climb or balance; and stoop, kneel, crouch, or crawl.

The employee may have to lift and/or move up to 20 pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception, and the ability to adjust focus.

Specific smell ability is required; recognize the smell of various fuels.


The above statements are intended to indicate the general nature and level of work performed by employees within this position.

They are not designed to contain or be interpreted as an exhaustive list of all duties, responsibilities, skills, and qualifications required of employees assigned to this job.

Hexagon is an equal opportunity and affirmative action employer and ensures that all qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, national origin, disability or veteran status.",Internship,Internship,Education and Training,Motor Vehicle Manufacturing,https://ca.linkedin.com/jobs/view/intern-at-hexagon-agility-3690457213?refId=pxRwNuCs6iA1C%2Bi89HQDTw%3D%3D&trackingId=y9RvehJDBVxJqp4utYHgqA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Finance Analyst Intern - Western Canada District Fall 2023,Kiewit,"Hope, British Columbia, Canada",2023-08-15,"Requisition ID: 169146

Job Level: Internship

Home District/Group: Western Canada District

Operational Finance

Transportation

Full Time Temporary


The Finance Analyst Internship is focused on supporting a project in accounting and finance related functions. Each project at Kiewit is run like a small business, with the Business Manager concentrated on critical tasks such as cost control, payroll, accounts payable/receivable, human capital management, and compliance. This position will become skilled executing processes and utilizing tools related to different types of cost and revenue components such as labor, construction equipment, materials, and subcontracts. The Finance intern will be an integral part of the month end close out process, and assist with preparing a financial reporting package for project management.

At Kiewit, the scale of our operations is huge. Our construction and engineering projects span across the United States, Canada and Mexico, improving and connecting communities with every initiative. We depend on our high-performing operations support professionals — they’re the glue that holds multiple areas of the business together and the catalysts that make things happen. We hire only the most driven people and we offer them diverse career opportunities, strong leadership and mentorship, rewarding, collaborative work, and responsibility they won’t find just anywhere. We’re always pushing new limits. You can too.


One of the many things that makes Kiewit’s culture unique is that we go where the work is, which exposes your career to abundant opportunities. We relocate our teams based on the work that is available, combined with the development plans, skill sets and career goals of each team member. This means your Kiewit adventure is custom-designed to meet our shared needs.",Internship,Internship,Finance and Sales,Construction and Civil Engineering,https://ca.linkedin.com/jobs/view/finance-analyst-intern-western-canada-district-fall-2023-at-kiewit-3674209019?refId=pxRwNuCs6iA1C%2Bi89HQDTw%3D%3D&trackingId=zJ9ue600IpbEz8ysxo5uNw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Engineering Co-op - Fall 2023,Jacobs,"Burnaby, British Columbia, Canada",2023-08-30,"Our People & Places Solutions business – reinforces our drive to improve the lives of people everywhere and epitomizes the ""why"" of what we do – the tremendous positive impact and value our solutions bring to our communities and society as a whole. From facilities delivering life-saving therapies and ensuring clean water to enabling the connection of people through all modes of transportation and providing access to technology – we're integrating a multitude of these solution elements to build the smart environments of tomorrow.



At Jacobs, we’re transforming intangible ideas into innovative solutions designing the future - today. As an Engineering Intern in Burnaby, you will too. You'll impact the world around you by helping us solve real-life challenges. YOU are the future of our company. We’ll rely on you to provide support to our teams on critical projects while fostering a culture of continuous learning and inclusion as you bring fresh ideas to the table.

You’ll work alongside professional engineers and designers, gaining exposure to project coordination, relevant computer-assisted engineering software, data collection and so much more.

Pave the way for your career with a company that inspires and empowers you to deliver your best work so you can evolve, grow and succeed – today and into tomorrow.



Ideally, you’ll also have



Job Reference ID BIC0000DN",Not Applicable,Full-time,Engineering and Information Technology,"IT Services and IT Consulting, Civil Engineering, and Design Services",https://ca.linkedin.com/jobs/view/engineering-co-op-fall-2023-at-jacobs-3703614387?refId=pxRwNuCs6iA1C%2Bi89HQDTw%3D%3D&trackingId=v5c65JpdgZhA2KKaqpr2Ww%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Vancouver Office – Opportunities in Global Infrastructure Advisory – Summer Internship – May 2024 Start,KPMG Canada,"Vancouver, British Columbia, Canada",2023-08-14,,,,,,https://ca.linkedin.com/jobs/view/vancouver-office-%E2%80%93-opportunities-in-global-infrastructure-advisory-%E2%80%93-summer-internship-%E2%80%93-may-2024-start-at-kpmg-canada-3690961167?refId=pxRwNuCs6iA1C%2Bi89HQDTw%3D%3D&trackingId=8jspufW4iueco7DwWzyY5g%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Chubb Summer Internship Program (Underwriting & Claims),Chubb,"Vancouver, British Columbia, Canada",2023-08-16,"Job Requirements

ABOUT THE CHUBB SUMMER INTERNSHIP PROGRAM:

The internship program provides students with a well-rounded knowledge of the insurance industry in a practical environment. Students can expect to gain industry knowledge and hands-on experience while building professional relationships. Our summer training program offers you the opportunity to explore career paths in insurance while developing underwriting, leadership, and personal effectiveness skills. As part of this program, you will receive:


Throughout your internship, you will be exposed to Chubb’s developmental approach and on-the-job training designed to help you hone your skills and abilities. Overall, your training will never stop at Chubb.

WHY STUDENTS CHOOSE CHUBB’S INTERNSHIP PROGRAM:


DEPARTMENT OVERVIEWS:

Commercial Insurance

Our Commercial Insurance team underwrites and sells a broad range of products and segment specific solutions to a select group of companies, including Energy (oil and gas, mining, hydroelectric), Life Sciences (pharmaceutical, medical device), Technology and Clean Tech, Manufacturing, Entertainment (film, television, and concert production) and more. Chubb offers protection that covers their property, general liability, and automobile insurance needs.

Financial Lines

Our Financial Lines team provides protection for risks such as Professional Liability, Cyber, Directors and Officers Liability, Kidnap & Random, Commercial Crime, Employment Practices Liability, and Fiduciary Liability. Financial Lines underwriters have exposure to organizations of various sizes and industries. Ranging from mining companies and not-for-profit entities in Management Liability, to professionals services firms and media organizations in Professional Liability, to banks, stockbrokers, and mutual fund companies in Financial Institutions, our underwriters are on the cutting edge of technology and business trends.

Personal Risk Services

Our Personal Risk Services team offers an array of property and casualty insurance products for successful individuals and families. From rare objects to fine art to classic cars, our Personal Risk Services team takes great pride in offering a seamless client experience and superior protection for our clients’ most valuable possessions. Our customers include many of the most affluent families in the world, CEOs, and top art collectors.

Major Accounts

Our Major Accounts team specializes in meeting the risk management needs of large U.S. and Canadian-based companies that require tailored solutions. Chubb’s Major Accounts customers generally have revenue of over $750M and employ a risk manager or risk management program run by Corporate Finance or General Counsel. In addition, our Major Accounts underwriters often deal with companies with locations worldwide, developing global expertise in regulation, loss assessment, mitigation, and claims handling.

Accident & Health

Our Accident & Health (A&H) division has consistently and reliably helped protect large and small businesses, professional practices, schools and colleges, financial institutions, membership associations, civic, church and non-profit organizations, and individuals alike. This team demonstrates an exceptional ability for flexible, fast and creative collaboration with policyholders. A&H offers insurance solutions to our clients and their employees, members, customers and individuals should they be involved in an accident or business travel-related emergency.

Claims

At Chubb, we believe the true measure of an insurance carrier is how it responds to and manages your claim. Our Claims professionals are committed to delivering a superior claims experience by demonstrating integrity, empathy, promptness, expertise, and fairness – treating each customer the way we would like to be treated if we were to experience the same loss. By joining our Claims team, you will work with a diverse group of customer service-oriented professionals and play an important role in managing and resolving a broad range of claims.




Please combine your resume, cover letter and unofficial transcript in one document when uploading your application.",Internship,Internship,Finance and Sales,Insurance,https://ca.linkedin.com/jobs/view/chubb-summer-internship-program-underwriting-claims-at-chubb-3696211980?refId=pxRwNuCs6iA1C%2Bi89HQDTw%3D%3D&trackingId=isb%2ByA%2FPdAUCFo%2Bbuby33w%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Mechanical Engineering Co-Op Student,Heidelberg Materials North America,"Sechelt, British Columbia, Canada",2023-06-26,"AutoReqId: 18082BR

Pay Class: Salaried Non-Exempt

Pay Rate: 20.00/hr - 24.00/hr

Maintenance

Aggregates

Internship


Heidelberg Materials is seeking a Mechanical Engineer Co-Op Student to join our team in Sechelt, BC. As a Mechanical Engineer Co-Op Student you will assist with supporting our Sechelt sand and gravel operation in Sechelt, B.C. for an 8-month co-op work term beginning in either August 2023 or September 2023. Reporting to the Maintenance Manager, this position supports the local operations on technical matters pertaining to maintenance, capital and improvement projects, and site development.

Heidelberg Materials provides the materials to build our future. Our future is sustainable. Our future is digital. And it goes beyond cement, aggregates and ready-mixed concrete. Heidelberg Materials North America, previously known as Lehigh Hanson, operates more than 450 locations with approximately 9,000 employees in the U.S. and Canada.",Not Applicable,Full-time,Engineering and Information Technology,Wholesale Building Materials,https://ca.linkedin.com/jobs/view/mechanical-engineering-co-op-student-at-heidelberg-materials-north-america-3644974842?refId=pxRwNuCs6iA1C%2Bi89HQDTw%3D%3D&trackingId=isTcJdSFI89NgtWbzbHwvg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
